date,bytes
2020-02-25 12:12:51.070,689
2020-02-25 12:12:51.090,1189
2020-02-25 12:13:17.190,687
2020-02-25 12:13:17.210,1187
2020-02-25 12:27:14.430,691
2020-02-25 12:27:14.450,1189
2020-02-25 12:27:16.390,741
2020-02-25 12:27:16.430,1249
2020-02-25 12:27:18.310,739
2020-02-25 12:27:18.430,1197
2020-02-25 12:27:20.660,745
2020-02-25 12:27:20.670,745
2020-02-25 12:27:20.760,1248
2020-02-25 12:27:20.760,1248
2020-02-25 12:28:40.470,689
2020-02-25 12:28:40.490,1189
2020-02-25 12:28:50.790,687
2020-02-25 12:28:50.810,1189
